Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/login/,20,0,400.0,420.88252999528777,374.22569998307154,591.6558000026271,491.9,0.16677453176200194,0.0,410,420,450,470,500,590,590,590,590,590,590
GET,/api/auth/me/,20,0,51,60.22880000527948,40.210100007243454,159.65799998957664,518.0,0.16677453176200194,0.0,51,59,63,63,94,160,160,160,160,160,160
GET,/api/history/,842,0,770.0,817.3876444168578,164.84529996523634,1841.20670001721,4865.589073634204,7.021207787180282,0.0,770,1000,1100,1200,1400,1500,1600,1700,1800,1800,1800
,Aggregated,882,0,750.0,791.2274639444508,40.210100007243454,1841.20670001721,4667.827664399093,7.354756850704286,0.0,750,970,1100,1200,1400,1500,1600,1700,1800,1800,1800
