Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/login/,20,0,490.0,489.8722249810817,330.29170002555475,684.5012999838218,490.6,0.16827094165788276,0.0,500,540,580,600,620,680,680,680,680,680,680
GET,/api/auth/me/,20,0,140.0,141.0937449982157,42.08700003800914,257.46860000072047,518.0,0.16827094165788276,0.0,160,180,190,200,210,260,260,260,260,260,260
GET,/api/history/,318,0,5300.0,5261.648455976454,2410.985999973491,6876.785599975847,4902.238993710692,2.675507972360336,0.0,5300,5600,5800,5900,6200,6400,6600,6700,6900,6900,6900
,Aggregated,358,0,5200.0,4709.004269274018,42.08700003800914,6876.785599975847,4410.849162011174,3.0120498556761013,0.0,5200,5600,5700,5900,6200,6400,6600,6700,6900,6900,6900
